User,Interval Start,Interval End,Valuation
0,0,0.2,1
0,0.2,0.7,2
0,0.7,1,3
1,0,0.2,1
1,0.2,0.7,2
1,0.7,1,3
2,0,0.2,1
2,0.2,0.7,2
2,0.7,1,3
3,0,0.2,1
3,0.2,0.7,2
3,0.7,1,3
4,0,0.2,1
4,0.2,0.7,2
4,0.7,1,3
5,0,0.1,2
5,0.1,1,6
6,0,0.1,2
6,0.1,1,6
7,0,0.1,2
7,0.1,1,6
8,0,0.1,2
8,0.1,1,6
9,0,0.1,2
9,0.1,1,6
10,0,0.8,3
10,0.8,0.9,5
10,0.9,1,7
11,0,0.8,3
11,0.8,0.9,5
11,0.9,1,7
12,0,0.8,3
12,0.8,0.9,5
12,0.9,1,7
13,0,0.8,3
13,0.8,0.9,5
13,0.9,1,7
14,0,0.8,3
14,0.8,0.9,5
14,0.9,1,7
15,0,0.5,4
15,0.5,0.9,6
15,0.9,1,8
16,0,0.5,4
16,0.5,0.9,6
16,0.9,1,8
17,0,0.5,4
17,0.5,0.9,6
17,0.9,1,8
18,0,0.5,4
18,0.5,0.9,6
18,0.9,1,8
19,0,0.5,4
19,0.5,0.9,6
19,0.9,1,8
20,0,0.2,5
20,0.2,0.4,7
20,0.4,1,9
21,0,0.2,5
21,0.2,0.4,7
21,0.4,1,9
22,0,0.2,5
22,0.2,0.4,7
22,0.4,1,9
23,0,0.2,5
23,0.2,0.4,7
23,0.4,1,9
24,0,0.2,5
24,0.2,0.4,7
24,0.4,1,9
25,0,0.3,6
25,0.3,0.7,8
25,0.7,1,10
26,0,0.3,6
26,0.3,0.7,8
26,0.7,1,10
27,0,0.3,6
27,0.3,0.7,8
27,0.7,1,10
28,0,0.3,6
28,0.3,0.7,8
28,0.7,1,10
29,0,0.3,6
29,0.3,0.7,8
29,0.7,1,10
30,0,0.6,7
30,0.6,0.8,9
30,0.8,1,11
31,0,0.6,7
31,0.6,0.8,9
31,0.8,1,11
32,0,0.6,7
32,0.6,0.8,9
32,0.8,1,11
33,0,0.6,7
33,0.6,0.8,9
33,0.8,1,11
34,0,0.6,7
34,0.6,0.8,9
34,0.8,1,11
35,0,0.8,8
35,0.8,1,12
36,0,0.8,8
36,0.8,1,12
37,0,0.8,8
37,0.8,1,12
38,0,0.8,8
38,0.8,1,12
39,0,0.8,8
39,0.8,1,12
40,0,0.3,9
40,0.3,0.9,11
40,0.9,1,13
41,0,0.3,9
41,0.3,0.9,11
41,0.9,1,13
42,0,0.3,9
42,0.3,0.9,11
42,0.9,1,13
43,0,0.3,9
43,0.3,0.9,11
43,0.9,1,13
44,0,0.3,9
44,0.3,0.9,11
44,0.9,1,13
45,0,0.2,10
45,0.2,0.5,12
45,0.5,1,14
46,0,0.2,10
46,0.2,0.5,12
46,0.5,1,14
47,0,0.2,10
47,0.2,0.5,12
47,0.5,1,14
48,0,0.2,10
48,0.2,0.5,12
48,0.5,1,14
49,0,0.2,10
49,0.2,0.5,12
49,0.5,1,14
